Accident_ID,Month_Year,Time,Location ,Accident_Severity,Vehicle_Type,Weather_Condition,Road_Type,Number_of_Casualties,Number_of_Fatalities,Light_Condition,Speed_Limit (km/h)
ACC0001,May-21,01:46,Anantnag Jammu and Kashmir,Serious,Cycle,Hazy,National Highway,0,4,Dark,61
ACC0002,Jan-18,21:30,Lucknow Uttar Pradesh,Minor,Truck,Hazy,Urban Road,5,4,Dusk,92
ACC0003,May-23,05:37,Bhilai Chhattisgarh,Minor,Pedestrian,Foggy,National Highway,6,5,Dawn,120
ACC0004,Jun-20,00:31,Lucknow Uttar Pradesh,Minor,Bus,Rainy,State Highway,10,5,Dark,76
ACC0005,Aug-21,11:21,Gyalshing Sikkim,Minor,Cycle,Foggy,Urban Road,7,1,Dusk,115
ACC0006,Nov-20,08:04,Shillong Meghalaya,Serious,Truck,Stormy,Village Road,6,2,Daylight,48
ACC0007,Oct-21,18:55,Gangtok Sikkim,Fatal,Two-Wheeler,Foggy,Urban Road,9,5,Dusk,111
ACC0008,Dec-22,11:40,Mandi Himachal Pradesh,Minor,Truck,Clear,State Highway,1,5,Dark,62
ACC0009,Jul-21,08:26,Jodhpur Rajasthan,Fatal,Truck,Clear,Urban Road,7,1,Dawn,35
ACC0010,Aug-18,02:01,Jodhpur Rajasthan,Fatal,Car,Foggy,State Highway,3,2,Dark,110
ACC0011,Apr-20,22:25,Dharamshala Himachal Pradesh,Minor,Pedestrian,Hazy,National Highway,1,3,Dusk,35
ACC0012,Aug-18,16:49,Kanpur Uttar Pradesh,Fatal,Bus,Clear,National Highway,1,4,Dusk,46
ACC0013,Sep-21,23:22,Dibrugarh Assam,Serious,Cycle,Hazy,Village Road,2,3,Daylight,46
ACC0014,Jun-20,06:47,Gaya Bihar,Serious,Car,Foggy,State Highway,0,0,Dusk,98
ACC0015,Aug-21,18:57,Hyderabad Telangana,Serious,Bus,Foggy,National Highway,6,3,Dawn,47
ACC0016,Aug-18,12:06,Naharlagun Arunachal Pradesh,Minor,Cycle,Stormy,State Highway,4,5,Dusk,60
ACC0017,Oct-19,12:47,Tirupati Andhra Pradesh,Minor,Cycle,Rainy,Village Road,7,4,Dark,90
ACC0018,Oct-23,18:59,Bangalore Karnataka,Fatal,Car,Hazy,Village Road,10,2,Dark,114
ACC0019,Nov-23,10:51,Namchi Sikkim,Serious,Auto-Rickshaw,Rainy,National Highway,7,1,Dawn,80
ACC0020,Apr-22,06:39,Korba Chhattisgarh,Fatal,Car,Foggy,State Highway,7,5,Daylight,46
ACC0021,Jun-18,08:10,Bhopal Madhya Pradesh,Serious,Two-Wheeler,Rainy,Urban Road,6,3,Dusk,30
ACC0022,Feb-22,01:35,Puducherry Puducherry,Serious,Car,Hazy,Urban Road,10,3,Dusk,55
ACC0023,Jul-22,18:51,Varanasi Uttar Pradesh,Fatal,Two-Wheeler,Clear,National Highway,9,4,Dawn,34
ACC0024,Dec-22,13:34,Nagpur Maharashtra,Serious,Cycle,Foggy,National Highway,1,3,Daylight,106
ACC0025,Feb-22,03:29,Baramulla Jammu and Kashmir,Serious,Two-Wheeler,Foggy,Urban Road,1,1,Dawn,31
ACC0026,Aug-18,11:10,Madurai Tamil Nadu,Fatal,Auto-Rickshaw,Stormy,National Highway,2,2,Daylight,92
ACC0027,Apr-19,15:58,Indore Madhya Pradesh,Minor,Pedestrian,Clear,State Highway,7,5,Daylight,71
ACC0028,Aug-23,00:54,Jabalpur Madhya Pradesh,Fatal,Car,Stormy,National Highway,10,1,Dusk,90
ACC0029,Mar-19,15:42,Chandigarh Chandigarh,Serious,Bus,Stormy,Village Road,8,0,Daylight,83
ACC0030,May-18,10:53,Varanasi Uttar Pradesh,Minor,Two-Wheeler,Hazy,National Highway,2,1,Dusk,33
ACC0031,Mar-19,15:01,Surat Gujarat,Fatal,Car,Stormy,State Highway,7,0,Dawn,69
ACC0032,Nov-22,09:25,Lucknow Uttar Pradesh,Fatal,Bus,Clear,National Highway,0,3,Dark,53
ACC0033,Jul-20,23:21,Mumbai Maharashtra,Serious,Bus,Hazy,Urban Road,6,2,Dawn,82
ACC0034,Jul-18,12:01,Rourkela Odisha,Minor,Auto-Rickshaw,Stormy,State Highway,7,2,Dark,79
ACC0035,Aug-23,17:37,Warangal Telangana,Minor,Pedestrian,Stormy,National Highway,8,3,Dawn,30
